ID,designation_header,strain_number_header,is_type_strain_header,species,genus
144918,,"CCUG 27092",0,"Winkia neuii",Winkia
145117,,"CCUG 27684",0,"Winkia neuii",Winkia
135862,,"CIP 102477",0,"Winkia neuii",Winkia
146292,,"CCUG 30823",0,"Winkia neuii",Winkia
137747,,"CIP 100430",0,"Winkia neuii",Winkia
137816,,"CIP 100345",0,"Winkia neuii",Winkia
137902,,"CIP 102149",0,"Winkia neuii",Winkia
146869,,"CCUG 32336",0,"Winkia neuii",Winkia
146984,,"CCUG 32595",0,"Winkia neuii",Winkia
144088,,"CCUG 22902",0,"Winkia neuii",Winkia
135274,,"CIP 101817",0,"Winkia neuii",Winkia
152054,,"CCUG 45645",0,"Winkia neuii",Winkia
152222,,"CCUG 46163",0,"Winkia neuii",Winkia
153493,,"CCUG 49749",0,"Winkia neuii",Winkia
153851,,"CCUG 51359",0,"Winkia neuii",Winkia
153985,,"CCUG 51840 A",0,"Winkia neuii",Winkia
155410,,"CCUG 57649",0,"Winkia neuii",Winkia
150554,,"CCUG 41575",0,"Winkia neuii",Winkia
156362,,"CCUG 61289",0,"Winkia neuii",Winkia
151393,,"CCUG 44035",0,"Winkia neuii",Winkia
151435,,"CCUG 44079",0,"Winkia neuii",Winkia
151441,,"CCUG 44085",0,"Winkia neuii",Winkia
166,50/90,"DSM 8577, CCUG 32253, CIP 104016",1,"Winkia neuii subsp. anitrata",Winkia
135360,219/92,"CIP 104018, ATCC 700050",0,"Winkia neuii subsp. anitrata",Winkia
146870,,"CCUG 32337",0,"Winkia neuii subsp. anitrata",Winkia
144652,,"CCUG 26086",0,"Winkia neuii subsp. anitrata",Winkia
144871,,"CCUG 26929",0,"Winkia neuii subsp. anitrata",Winkia
152293,,"CCUG 46366",0,"Winkia neuii subsp. anitrata",Winkia
152881,,"CCUG 47863",0,"Winkia neuii subsp. anitrata",Winkia
153392,,"CCUG 49426",0,"Winkia neuii subsp. anitrata",Winkia
153487,,"CCUG 49728",0,"Winkia neuii subsp. anitrata",Winkia
153571,,"CCUG 50221",0,"Winkia neuii subsp. anitrata",Winkia
153745,,"CCUG 50850",0,"Winkia neuii subsp. anitrata",Winkia
153854,,"CCUG 51375",0,"Winkia neuii subsp. anitrata",Winkia
154174,,"CCUG 52662",0,"Winkia neuii subsp. anitrata",Winkia
154266,,"CCUG 52928",0,"Winkia neuii subsp. anitrata",Winkia
155426,,"CCUG 57708",0,"Winkia neuii subsp. anitrata",Winkia
155570,,"CCUG 58185",0,"Winkia neuii subsp. anitrata",Winkia
150575,,"CCUG 41640",0,"Winkia neuii subsp. anitrata",Winkia
155702,,"CCUG 59054",0,"Winkia neuii subsp. anitrata",Winkia
