ID,designation_header,strain_number_header,is_type_strain_header,species,genus
13466,,"DSM 45088, KCTC 19235, YIM 91168, CCTCC AB 206032",1,"Saccharopolyspora qijiaojingensis",Saccharopolyspora
13441,,"DSM 43747, ATCC 33515, BKM A-810, INMI 683, KCC A-0057, VKM A-810, VKM Ac-810, JCM 3057, CGMCC 4.1362, IFM 0101, IFM 10562, IFM 1130, IFO 12464, IMSNU 20125, KACC 20055, KCTC 9487, MTCC 1547, NBRC 12464, NCIMB 12296, NRRL B-16280",1,"Saccharopolyspora rectivirgula",Saccharopolyspora
142970,,"CCUG 15955",0,"Saccharopolyspora rectivirgula",Saccharopolyspora
13437,"A 94","DSM 43113, ATCC 15347, CBS 100.63, CUB 134, ETH 31520, JCM 3099, KCC A-0099, NCIB 9984, BCRC 13418, CCM 3263, CCUG 15939, CCUG 4911, CECT 3218, CECT 3223, CMI 104402, IFO 12991, IMET 9545, MTCC 266, NBIMCC 1473, NBRC 12991, NCIMB 9984, NRRL B-8014, PCM 2250, VTT E-81130",0,"Saccharopolyspora rectivirgula",Saccharopolyspora
13438,"A 1313","DSM 43114, ATCC 29034",0,"Saccharopolyspora rectivirgula",Saccharopolyspora
13439,T-150,"DSM 43371",0,"Saccharopolyspora rectivirgula",Saccharopolyspora
13440,"K 1325","DSM 43755, IMET 9553",0,"Saccharopolyspora rectivirgula",Saccharopolyspora
13442,,"DSM 46163, CUB 404, IMET 9544",0,"Saccharopolyspora rectivirgula",Saccharopolyspora
13443,655-6,"DSM 46169, IMET 9557",0,"Saccharopolyspora rectivirgula",Saccharopolyspora
166478,H219,"TBRC 8564, NBRC 113388",1,"Saccharopolyspora rhizosphaerae",Saccharopolyspora
13471,,"DSM 45226, CCUG 56401, IMMIB L-1070, JCM 19121",1,"Saccharopolyspora rosea",Saccharopolyspora
13469,"strain 88","DSM 45244, CGMCC 4.3530, JCM 14614",1,"Saccharopolyspora shandongensis",Saccharopolyspora
169837,"K 220","KCTC 49395, JCM 33912",1,"Saccharopolyspora soli",Saccharopolyspora
155388,,"CCUG 57580",0,"Saccharopolyspora sp.",Saccharopolyspora
155898,,"CCUG 59596",0,"Saccharopolyspora sp.",Saccharopolyspora
13461,03-808,"DSM 45118",0,"Saccharopolyspora sp.",Saccharopolyspora
13462,06-1231-1,"DSM 45120",0,"Saccharopolyspora sp.",Saccharopolyspora
13463,6015,"DSM 45121",0,"Saccharopolyspora sp.",Saccharopolyspora
13464,,"DSM 45425, CCTCC AA 208003, KCTC 19397, YIM 61095",0,"Saccharopolyspora endophytica",Saccharopolyspora
